"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COX7A2L",-0.0702937619580376,6.73373534732438,-0.768407330703707,0.445636177665232,0.824499503278869,-6.17729658539291
"GRAMD1B",-0.164222555439896,2.54962305902436,-0.768278884791224,0.445711816286413,0.824499503278869,-5.48715309698129
"TSNARE1",-0.214507798451075,1.02867868428184,-0.768260062419396,0.445722900947525,0.824499503278869,-5.26135611130782
"WWC3",0.130203104978248,3.84822512732633,0.76813895304706,0.445794227190024,0.824526581190094,-5.73022334090138
"MBNL1-AS1",0.186549360790041,1.89417467222607,0.767956344272058,0.445901785576777,0.824620657497041,-5.37976297020943
"ASB6",0.130874700263543,3.36833888406344,0.767834074387566,0.445973812252006,0.824649008289528,-5.64009545305237
"NDUFB4",0.065102007595337,7.02862619965649,0.767723493221835,0.446038959211273,0.824664632226766,-6.21016294155662
"TSPOAP1-AS1",-0.16891845372297,3.34525617213819,-0.767473902852435,0.446186021495735,0.824779181225883,-5.63874594634998
"KLHDC2",0.0862682041964228,5.74339387580878,0.767266044509125,0.446308516327128,0.824779181225883,-6.05100015060989
"TUBB2A",0.233142099930862,3.97987923269176,0.767206590966636,0.446343557038843,0.824779181225883,-5.75189644490267
"AC068790.7",-0.25975437330792,-0.340951287202079,-0.76707920029242,0.446418643940184,0.824779181225883,-5.15418928428134
"AL450384.2",-0.202749275327812,0.831596445802136,-0.767023939932006,0.44645121792702,0.824779181225883,-5.24768648059587
"AC020915.2",-0.168723408923465,3.05113394533141,-0.766844463917306,0.446557022153067,0.824779181225883,-5.5833420251438
"TAZ",-0.0870618011750539,5.02692226585635,-0.766818191791227,0.446572511258697,0.824779181225883,-5.94246448901036
"DTWD2",-0.208212623439821,1.71299410357102,-0.766671977650279,0.446658719629619,0.824779181225883,-5.35992927917251
"USP5",-0.147699613634192,3.48228808187735,-0.766582023676176,0.446711761647209,0.824779181225883,-5.66713870891317
"RBM23",-0.0838824695582174,5.40890140276995,-0.766486433254549,0.446768131276619,0.824779181225883,-6.00481568076732
"LINC00954",-0.22907426110226,1.99557856455582,-0.766444230434713,0.446793019585194,0.824779181225883,-5.40069927316368
"CSRNP1",-0.227272149474097,4.94308917752112,-0.766357642778722,0.446844085544447,0.824779181225883,-5.92515418159537
"ITGAX",0.242952147850898,2.4509033353697,0.766260659804321,0.446901286303653,0.824779181225883,-5.46711731365923
"NRF1",0.162418770524843,3.25042825284346,0.766253958857616,0.446905238694112,0.824779181225883,-5.61447405946608
"ZNF319",-0.206975833985077,1.70986243058184,-0.766175536388029,0.446951495800784,0.824779181225883,-5.35694555874564
"MRPS30",0.0957920870458136,5.56708633050714,0.766002006927835,0.447053861251684,0.824844335075631,-6.02572324360017
"SLC23A2",0.186022755804906,2.62619948586701,0.76586811703895,0.447132852594479,0.824844335075631,-5.50054902553378
"CDCA3",-0.294460271774818,-0.593104412316808,-0.76555308993459,0.447318742095743,0.824844335075631,-5.1423460822772
"CASP10",0.206681762656009,2.56208630703886,0.765462345864831,0.447372296250832,0.824844335075631,-5.49149683765497
"HPN",-0.317342032797631,-0.571308316431724,-0.765456054431492,0.44737600938611,0.824844335075631,-5.14412622215583
"PGAP2",-0.143972278377901,3.19818532245159,-0.765453424956858,0.447377561278675,0.824844335075631,-5.61223704674155
"TRDV1",0.269539449477288,0.240347302217202,0.765302879002276,0.44746641741209,0.824844335075631,-5.19562810677299
"SLC35C2",-0.103889893590596,4.3637846610293,-0.7652338711412,0.447507151092853,0.824844335075631,-5.82873098403345
"RPLP1",0.0552743168881356,12.7536232990424,0.765165980846126,0.447547227216539,0.824844335075631,-6.70030535961104
"NAMPT",0.139334392110516,4.70784939549996,0.765154675302482,0.447553901163072,0.824844335075631,-5.88759774146629
"MTHFD2",0.164755704492888,3.45071131581437,0.764883612339872,0.447713933860364,0.825034735588368,-5.65651898078786
"AC092119.3",-0.295518416127085,-0.106670393577403,-0.764676299514302,0.447836351720449,0.8251104136886,-5.16839196215481
"AP000944.6",-0.310631922002378,-0.391198941349775,-0.764608282749423,0.447876519761899,0.8251104136886,-5.15183784540401
"MSANTD4",-0.162074711976036,2.67376775766212,-0.76447605624256,0.447954613590048,0.8251104136886,-5.52540476879101
"AC026748.3",-0.275566613603068,0.277943657921694,-0.764429835311595,0.447981913846606,0.8251104136886,-5.19436144699608
"ARHGEF39",0.22300088463951,0.113170839276546,0.764332586046462,0.448039357012371,0.825111730532406,-5.18100597896307
