"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC01772",0.182298023361614,0.977366477410952,0.574180704981054,0.568174081861278,0.871791485783236,-5.21746079782274
"PLAC8",-0.069403815724711,7.35858691533842,-0.5741514147729,0.568193762291831,0.871791485783236,-6.20466355972173
"LYRM9",-0.106878877859641,3.41016973598137,-0.574044014978608,0.568265928324963,0.871791485783236,-5.56756601157178
"AC093495.1",-0.133268530761919,2.46162980827185,-0.574007340950206,0.568290572039933,0.871791485783236,-5.40190022012042
"RINL",-0.102522855849571,4.1955252067735,-0.573898867259952,0.568363465788482,0.871813736150382,-5.71655169257359
"CTSZ",-0.0851132420770138,4.35804839576082,-0.573544242775302,0.568601803621717,0.872089730855249,-5.74841335817924
"FPGT",-0.199986949304136,0.819496381031932,-0.573454170282856,0.568662347816797,0.872093006907621,-5.20483781444804
"RNF25",0.182456041654361,2.58598940020892,0.57316126145415,0.568859254769891,0.872159382966774,-5.41587266694074
"SLX4",-0.161903060125418,1.82810352401747,-0.572956247901352,0.568997094331871,0.872159382966774,-5.31197983971608
"SPRED1",-0.189026724704873,-0.145592949033403,-0.572824144757234,0.569085921725143,0.872159382966774,-5.14937403637199
"TRAV12-2",-0.206580396013509,0.350914553386669,-0.57271338615953,0.569160402088386,0.872159382966774,-5.1714443280815
"PIBF1",-0.0731058912549216,5.24628212549579,-0.572630083452838,0.569216422703911,0.872159382966774,-5.90609675375105
"AC005261.1",-0.107851831215446,3.69154892379321,-0.572532794839215,0.569281852189364,0.872159382966774,-5.62564870611865
"CYP46A1",0.207220521475424,0.0855118045899014,0.572497936392434,0.569305296428919,0.872159382966774,-5.15677088183827
"ZDHHC13",-0.146418399221778,2.56786785561245,-0.572331862208692,0.56941699703365,0.872159382966774,-5.42260182261614
"SPCS2",-0.0699707945394758,7.16494796791966,-0.572277060744344,0.569453858562613,0.872159382966774,-6.17908090983555
"MRPS31",-0.11779604002909,4.94860330273306,-0.572104501204124,0.569569936250864,0.872159382966774,-5.8550662000808
"AL355075.4",-0.18868017007365,1.41286789630194,-0.571982125019244,0.569652263531313,0.872159382966774,-5.25666187383116
"AMBRA1",0.177312722237939,1.80739719850104,0.571923712379209,0.569691562071855,0.872159382966774,-5.29801690896054
"PDHA1",-0.0814279457325342,4.33034449647585,-0.571917745538488,0.569695576485536,0.872159382966774,-5.74413336353493
"PTK7",-0.211790332552517,-0.32390802915088,-0.571915246047257,0.569697258115205,0.872159382966774,-5.14380349966585
"LINC01635",-0.192183964651574,0.287493326969326,-0.571720891093506,0.569828025397606,0.872159382966774,-5.1676638204767
"RNF222",0.209846841560796,-0.411511232268142,0.571699083416931,0.569842699111425,0.872159382966774,-5.14023895432094
"AL139330.1",-0.213532261856291,-0.374641801548362,-0.571676179343887,0.569858110756012,0.872159382966774,-5.14132898447222
"MED29",0.110539055710239,3.92300205961802,0.571669815273965,0.569862393034281,0.872159382966774,-5.65772185770891
"WDR92",-0.17999704344377,2.02607522576064,-0.571402491542476,0.570042285029266,0.872159382966774,-5.32929376975756
"ZNF865",0.125716524550181,2.62044599848021,0.571399565444637,0.570044254262288,0.872159382966774,-5.41297789232649
"DNTTIP1",-0.14306526178189,2.98983470630166,-0.57127929873529,0.570125195373858,0.872159382966774,-5.49198789865362
"SHMT2",0.0978395321971184,3.48437014367827,0.57120351663607,0.570176200635854,0.872159382966774,-5.57381053441495
"ALOX5AP",0.112828894386618,6.36873959502935,0.571189385667383,0.570185711753929,0.872159382966774,-6.07496105808031
"TMED9",0.0507341481087356,6.4630858681641,0.571099362152957,0.570246305622,0.872159382966774,-6.09186866437412
"TBCCD1",0.139562635983747,2.37833855077954,0.57108512522178,0.5702558886374,0.872159382966774,-5.38084151814034
"LCP2",0.0598315130564434,5.95792974653582,0.571075943309276,0.570262069112908,0.872159382966774,-6.02410024265042
"AC027290.1",-0.202975336462526,-0.23923269958106,-0.571038678402384,0.570287152986859,0.872159382966774,-5.14611958179109
"AC018362.1",0.18024291046707,1.50526314222064,0.570958412301244,0.570341183797976,0.872159382966774,-5.26204819995929
"SDHB",0.0830363444021451,5.57672578701886,0.570835783047926,0.57042373603812,0.872178541989149,-5.96613753545291
"RCN1",0.134910941425635,2.9921441002692,0.570711032635154,0.570507722213768,0.872178541989149,-5.489311828318
"AC012181.1",0.194759483371655,0.947769652508988,0.570679496294484,0.570528954497892,0.872178541989149,-5.21223484092583
"LTO1",0.11812980561181,3.27351332770037,0.570530423020296,0.57062932540759,0.872242675845693,-5.53888499049248
"NPFF",-0.182753388651756,0.121345356970631,-0.570287785350127,0.570792711622602,0.872349151891425,-5.16397150769
"ZBTB8OS",-0.0588014008362362,5.84739799231953,-0.570253450416664,0.570815833767278,0.872349151891425,-6.00668634051051
"TMCO4",-0.122352579465474,3.28193025266077,-0.570112293488701,0.5709108977698,0.872405139146544,-5.53938242733577
"SLC41A1",0.0977224452272211,3.8062658382837,0.569948301457728,0.571021350098557,0.872484627335402,-5.64617391866851
"RALA",-0.0860936660166364,4.75748763137842,-0.569772389847132,0.57113984214909,0.872506306462325,-5.82786566855553
"GNAI3",-0.0599535250403767,5.75947139302052,-0.56975373227948,0.571152410378592,0.872506306462325,-5.99336718386487
"SMYD5",-0.145017184847813,1.73653603054142,-0.569316146820133,0.571447218252768,0.872805410456474,-5.29501736872348
"AC009118.3",-0.201978583967086,0.46478838431751,-0.569289580082512,0.571465119055823,0.872805410456474,-5.1877860191333
